ror1_flag,ror1_confidence,ror1_reasoning,b7h3_flag,b7h3_confidence,b7h3_reasoning,topo1_flag,topo1_confidence,topo1_reasoning,bispecific_flag,bispecific_reasoning,competitor_flag,competitor_reasoning,lens_id,error
False,none,"The claims do not mention ROR1 or any characteristics associated with ROR1 targeting, such as Wnt5a signaling or expression in specific lymphomas.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting. The focus is on EGFR and c-MET.",True,high,"Claim 86 explicitly mentions DNA Topoisomerase inhibitors as a class of cytotoxic drugs used in the ADCs, which includes topoisomerase I inhibitors.",False,"The claims describe bispecific antibodies targeting EGFR and c-MET, but neither arm targets ROR1 or B7-H3.",True,"The patent poses a competitive risk due to the high confidence in the use of topoisomerase I inhibitors as payloads, which overlaps with the ADC program's focus on such payloads.",004-416-185-262-562,
False,none,"The claims do not mention ROR1 or any characteristics associated with ROR1 targeting, such as involvement in Wnt5a signaling or expression in specific lymphomas.",False,none,"The claims do not mention B7-H3, CD276, or any characteristics specific to B7-H3 targeting, such as being a 4Ig B7 family member or overexpression in specific cancers.",True,high,"The claims explicitly describe a camptothecin derivative, which is a known topoisomerase I inhibitor, as the payload in the antibody-drug conjugate.",False,The claims do not describe any bispecific or multispecific antibody constructs.,True,"The patent poses a competitive risk due to the high confidence in the use of a topoisomerase I inhibitor payload, specifically a camptothecin derivative, which overlaps with the ADC program's payload strategy.",042-218-297-323-498,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting, such as being a 4Ig B7 family member overexpressed in certain cancers.",False,none,"The claims do not mention any topoisomerase I inhibitors or related payloads, such as camptothecin derivatives or specific topoisomerase I targeting mechanisms.",False,"The claims do not describe any bispecific or multispecific antibodies, nor do they mention ROR1 or B7-H3 as potential targets.",False,"None of the claims relate to ROR1, B7-H3, or topoisomerase I inhibitors, and there are no bispecific constructs involving these targets. Therefore, there is no competitive risk to the ADC program targeting these elements.",151-228-519-107-266,
False,none,The claims do not mention ROR1 or any characteristics associated with ROR1 targeting.,True,high,"The claims explicitly describe an antibody-drug conjugate targeting B7H3, with specific sequences provided for the B7H3-targeting antibody.",False,none,The claims do not specify a topoisomerase I inhibitor or any related compounds as the payload.,False,The claims do not describe a bispecific or multispecific antibody construct.,True,"The patent poses a competitive risk due to the high confidence B7H3 targeting claims, which directly overlap with the ADC program targeting B7-H3.",157-320-356-488-753,
False,none,The claims focus on anti-EphA2 antibodies and do not mention ROR1 or any related characteristics.,False,none,The claims are specific to EphA2 and do not reference B7-H3 or any related features.,True,medium,"The claims include camptothecin derivatives as potential payloads for the ADC, which are known topoisomerase I inhibitors.",False,There are no claims describing bispecific or multispecific antibodies targeting ROR1 or B7-H3.,True,The inclusion of camptothecin derivatives as payloads in the claims poses a medium confidence competitive risk to programs using topoisomerase I inhibitors.,169-802-808-267-220,
False,none,The claims focus on antibodies binding to CHI3L1 and do not mention ROR1 or any related characteristics.,False,none,The claims are specific to CHI3L1 and do not reference B7-H3 or any related features.,False,none,There is no mention of topoisomerase I inhibitors or related payloads in the claims.,False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"The patent claims are specific to CHI3L1-targeting antibodies and do not overlap with ROR1, B7-H3, or topoisomerase I inhibitor payloads.",183-543-064-863-25X,
False,none,"The claims do not mention ROR1 or any characteristics specifically associated with ROR1 targeting, such as Wnt5a signaling or expression in CLL.",True,high,"The claims explicitly mention an anti-B7H3 antibody, which directly targets B7-H3 (CD276).",True,high,"The claims describe compounds with structures consistent with camptothecin derivatives, which are known topoisomerase I inhibitors.",False,The claims do not describe any bispecific or multispecific antibody constructs.,True,The patent poses a competitive risk due to high confidence in both B7-H3 targeting and topoisomerase I inhibitor payload claims.,055-660-321-279-639,
True,high,"The claims explicitly mention ROR1 as a target for the carrier-drug conjugate, indicating a high confidence in ROR1 targeting.",True,high,"The claims explicitly mention B7-H3 as a target for the carrier-drug conjugate, indicating a high confidence in B7-H3 targeting.",True,high,"The claims describe a camptothecin derivative designed to inhibit type 1 topoisomerase, which aligns with the use of a topoisomerase I inhibitor payload.",False,There are no claims describing a bispecific or multispecific antibody construct targeting ROR1 or B7-H3.,True,"The patent poses a competitive risk due to high confidence in targeting ROR1, B7-H3, and using a topoisomerase I inhibitor payload, all of which are relevant to the ADC program.",035-914-670-981-153,
True,high,"The claims explicitly mention an anti-ROR1 antibody, indicating a high confidence in targeting ROR1.",True,high,"The claims explicitly mention an anti-B7-H3 antibody, indicating a high confidence in targeting B7-H3.",True,high,"The claims describe an antibody-drug conjugate with an Exatecan derivative, a known topoisomerase I inhibitor, providing high confidence in the use of a topoisomerase I inhibitor payload.",False,There are no claims describing a bispecific or multispecific antibody construct.,True,"The patent poses a competitive risk due to high confidence in targeting ROR1, B7-H3, and using a topoisomerase I inhibitor payload.",053-467-559-233-086,
True,high,"The claims explicitly mention ROR1 as a tumor-associated antigen targeted by the bi-functional therapeutic, which includes a targeting component such as a TCR, single domain antibody, or Anticalin®.",False,none,"There is no mention of B7-H3 or CD276 in the claims, nor any description that matches the criteria for B7-H3 targeting.",False,none,"The claims do not mention any topoisomerase I inhibitors or related payloads, nor do they describe any payloads that fit the criteria for topoisomerase I inhibition.",False,The claims describe a bi-functional therapeutic but do not specify a bispecific or multispecific antibody construct with one arm meeting ROR1 or B7-H3 criteria.,True,"The high confidence in ROR1 targeting indicates a competitive risk to an ADC program targeting ROR1, despite the absence of B7-H3 or topoisomerase I inhibitor payloads.",084-453-987-746-467,
False,none,The claims focus on an HER2 antibody-drug conjugate and do not mention ROR1 or any characteristics associated with ROR1 targeting.,False,none,"There is no mention of B7-H3, CD276, or any related characteristics in the claims. The focus is solely on HER2 targeting.",False,none,"The payload described in the claims is an Eribulin derivative, which is not a topoisomerase I inhibitor. There is no mention of topoisomerase I inhibitors or related compounds.",False,The claims do not describe any bispecific or multispecific antibody constructs. The focus is on a single HER2-targeting ADC.,False,"The patent does not pose a competitive risk to an ADC program targeting ROR1, B7-H3, or using a topoisomerase I inhibitor payload, as none of these elements are claimed or suggested.",133-910-635-348-779,
False,none,"The claims focus exclusively on anti-HER2 antibody-drug conjugates for HER2-mutated cancers, with no mention of ROR1 or related characteristics.",False,none,"There is no mention of B7-H3, CD276, or any related characteristics in the claims, which are specific to HER2-mutated cancer treatment.",False,none,The claims do not specify any topoisomerase I inhibitors or related payloads; they focus on the anti-HER2 ADC with unspecified drug-linkers.,False,The claims do not describe any bispecific or multispecific antibody constructs; they are specific to anti-HER2 ADCs.,False,"The patent claims are specific to anti-HER2 ADCs for HER2-mutated cancers and do not mention ROR1, B7-H3, or topoisomerase I inhibitors, posing no competitive risk to the ADC program targeting ROR1 or B7-H3 with a topoisomerase I inhibitor payload.",089-468-640-828-491,
False,none,"The claims focus on formulations of nimotuzumab, with no mention of ROR1 or related receptor tyrosine kinases.",False,none,"There is no mention of B7-H3, CD276, or related B7 family members in the claims.",False,none,The claims do not mention any topoisomerase I inhibitors or related payloads.,False,The claims do not describe any bispecific or multispecific antibodies.,False,"The patent claims are specific to nimotuzumab formulations and do not relate to ROR1, B7-H3, or topoisomerase I inhibitor payloads, posing no competitive risk to the ADC program.",038-431-560-222-845,
False,none,"The claims do not mention ROR1 or any characteristics specifically associated with ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL.",True,high,"The claims explicitly mention an anti-B7-H3 antibody, which directly targets the B7-H3 antigen.",False,none,The claims focus on a pyrrolobenzodiazepine derivative conjugate and do not mention topoisomerase I inhibitors or related payloads.,False,The claims do not describe any bispecific or multispecific antibody constructs.,True,The high confidence in B7-H3 targeting indicates a competitive risk to ADC programs targeting B7-H3.,172-374-095-673-631,
False,none,"The claims focus exclusively on antibodies targeting TIGIT, with no mention or implication of ROR1 or related receptor tyrosine kinases.",False,none,The claims are specific to TIGIT-targeting antibodies and do not mention B7-H3 or any related B7 family members.,False,none,"There is no mention of topoisomerase I inhibitors or related payloads in the claims, which focus on TIGIT antibodies.",False,"While the claims mention multispecific antibodies, there is no indication that these involve ROR1 or B7-H3 as one of the targets.",False,"The patent claims are specific to TIGIT-targeting antibodies and do not overlap with ROR1, B7-H3, or topoisomerase I inhibitor payloads, posing no competitive risk to the ADC program.",175-569-549-528-375,
False,none,The claims focus on a vaccine targeting HER3 and do not mention ROR1 or any related characteristics.,False,none,"There is no mention of B7-H3, CD276, or related characteristics in the claims.",False,none,The claims do not mention topoisomerase I inhibitors or related payloads.,False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"The patent claims are focused on a HER3-targeting vaccine and do not involve ROR1, B7-H3, or topoisomerase I inhibitor payloads, thus posing no competitive risk to the ADC program targeting these elements.",006-107-131-813-465,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL.",False,none,"There is no mention of B7-H3, CD276, or any related characteristics in the claims.",False,none,The claims do not reference any topoisomerase I inhibitors or related payloads such as camptothecin derivatives.,False,"The claims describe a multi-specific binding protein targeting NKG2D, CD16, and HER2, but do not involve ROR1 or B7-H3.",False,"None of the claims relate to ROR1, B7-H3, or topoisomerase I inhibitors, and the bispecific construct does not involve these targets.",005-233-734-248-128,
False,none,"The claims do not mention ROR1 or any characteristics specifically associated with ROR1 targeting, such as Wnt5a signaling or expression in CLL or mantle cell lymphoma.",False,none,"There is no mention of B7-H3, CD276, or any specific characteristics of B7-H3 in the claims. The claims focus on targeting tenascin, a non-cellular structure.",False,none,The claims do not mention topoisomerase I inhibitors or any related compounds such as camptothecin derivatives. The focus is on chimeric proteins with modified signaling agents.,False,The claims do not describe bispecific or multispecific antibodies targeting ROR1 or B7-H3. The focus is on chimeric proteins targeting non-cellular structures.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence. The patent does not pose a competitive risk to the ADC program targeting these elements.",000-225-933-974-294,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting, such as being a 4Ig B7 family member.",False,none,The claims do not specify a topoisomerase I inhibitor or any related compounds like camptothecin derivatives.,False,The claims do not describe a bispecific or multispecific antibody construct.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence, and there is no bispecific construct described.",003-010-243-632-191,
False,none,"The claims focus exclusively on antibodies targeting ErbB3, with no mention or implication of ROR1 or related characteristics.",False,none,"There is no mention of B7-H3, CD276, or any related characteristics in the claims, which are specific to ErbB3 targeting.",False,none,"The claims do not mention any payloads, including topoisomerase I inhibitors or related compounds.",False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"The patent claims are specific to ErbB3-targeting antibodies and do not overlap with ROR1, B7-H3, or topoisomerase I inhibitor payloads, posing no competitive risk to the ADC program.",008-613-247-605-726,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any characteristics specific to B7-H3 targeting, such as being a 4Ig B7 family member.",False,none,The claims do not mention any topoisomerase I inhibitors or related payloads such as camptothecin derivatives.,False,"While the claims describe a bispecific binding molecule, neither arm targets ROR1 or B7-H3.",False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence, and the bispecific construct does not involve these targets.",012-850-969-008-484,
False,none,The claims focus on antibodies targeting CAPRIN-1 and do not mention ROR1 or any related characteristics such as orphan receptor tyrosine kinases or Wnt5a signaling.,False,none,"There is no mention of B7-H3, CD276, or any related B7 family member characteristics in the claims. The focus is solely on CAPRIN-1.",False,none,The claims do not mention any topoisomerase I inhibitors or related payloads. The focus is on HDAC inhibitors in combination with CAPRIN-1 targeting antibodies.,False,The claims do not describe any bispecific or multispecific antibody constructs. They focus on single specificity antibodies targeting CAPRIN-1.,False,"The patent does not pose a competitive risk to ADC programs targeting ROR1, B7-H3, or using a topoisomerase I inhibitor payload, as it is focused on CAPRIN-1 and HDAC inhibitors.",046-378-180-137-008,
False,none,"The claims do not mention ROR1 or any specific characteristics associated with ROR1 targeting, such as involvement in Wnt5a signaling or expression in specific cancers.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics associated with B7-H3 targeting, such as being a 4Ig B7 family member or overexpression in specific tumors.",False,none,The claims do not specify any topoisomerase I inhibitors or related structural descriptions. The drug part 'D' is broadly defined as a cytotoxic drug without further specification.,False,The claims do not describe bispecific or multispecific antibodies targeting ROR1 or B7-H3.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence. The patent does not pose a competitive risk to the ADC program targeting these specific elements.",023-714-264-962-780,
False,none,"The claims do not mention ROR1 or any specific characteristics associated with ROR1 targeting, such as Wnt5a signaling or expression in specific lymphomas.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics associated with B7-H3 targeting, such as its expression profile or exclusion of other B7 family members.",False,none,The claims do not specify any topoisomerase I inhibitors or related structural features. The focus is on a general cytotoxic compound structure without specific reference to topoisomerase I inhibition.,False,The claims do not describe any bispecific or multispecific antibody constructs targeting ROR1 or B7-H3.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence. The patent does not pose a competitive risk to the ADC program targeting these specific elements.",001-177-701-514-398,
False,none,The claims focus exclusively on anti-human CCR7 antibodies and do not mention ROR1 or any related receptor tyrosine kinase characteristics.,False,none,"There is no mention of B7-H3, CD276, or any related B7 family member in the claims. The focus is solely on CCR7.",False,none,The claims do not mention any topoisomerase I inhibitors or related payloads. The focus is on antibodies targeting CCR7.,False,The claims do not describe any bispecific or multispecific antibody constructs. They are specific to anti-human CCR7 antibodies.,False,"The patent claims are specific to anti-human CCR7 antibodies and do not overlap with ROR1, B7-H3, or topoisomerase I inhibitor payloads. Therefore, it does not pose a competitive risk to the ADC program targeting these elements.",022-750-917-076-922,
False,none,The claims do not mention ROR1 or any related characteristics such as orphan receptor tyrosine kinase involvement in Wnt5a signaling or expression in specific lymphomas.,False,none,"The claims do not mention B7-H3, CD276, or any related characteristics such as being a 4Ig B7 family member or overexpression in specific cancers.",False,none,"The claims focus on PUFA-taxoid conjugates and immune-oncology agents, with no mention of topoisomerase I inhibitors or related compounds like camptothecin derivatives.",False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence, and there are no bispecific constructs described. Therefore, this patent does not pose a competitive risk to the ADC program targeting these elements.",030-833-129-474-499,
False,none,"The claims focus on antibodies targeting CD112R, with no mention of ROR1 or related receptor characteristics.",False,none,"There is no mention of B7-H3, CD276, or related characteristics in the claims, which are specific to CD112R.",False,none,The claims do not mention any topoisomerase I inhibitors or related payloads.,False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"The patent claims are specific to CD112R-targeting antibodies and do not overlap with ROR1, B7-H3, or topoisomerase I inhibitor payloads, indicating no competitive risk.",024-391-924-544-297,
False,none,The claims focus on LAIR-1 antibodies and do not mention ROR1 or any related characteristics such as orphan receptor tyrosine kinase or Wnt5a signaling.,False,none,"The claims are specific to LAIR-1 antibodies and do not mention B7-H3, CD276, or any related characteristics of the B7 family.",False,none,"There is no mention of topoisomerase I inhibitors or related payloads in the claims, which focus solely on LAIR-1 antibodies.",False,The claims do not describe any bispecific or multispecific antibody constructs involving ROR1 or B7-H3.,False,"The patent claims are specific to LAIR-1 antibodies and do not overlap with ROR1, B7-H3, or topoisomerase I inhibitor payloads, indicating no competitive risk to the ADC program targeting these elements.",030-554-654-314-926,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting.",True,medium,"The claims include an anticancer agent that is an inhibitor of topoisomerase I, which suggests potential use of a topoisomerase I inhibitor payload.",False,The claims do not describe a bispecific or multispecific antibody construct.,True,The presence of a topoisomerase I inhibitor in the claims poses a competitive risk to ADC programs using similar payloads.,025-775-533-074-768,
False,none,"The claims focus on an antibody targeting the human transferrin receptor, with no mention of ROR1 or related characteristics.",False,none,"There is no mention of B7-H3, CD276, or related characteristics in the claims, which are specific to the transferrin receptor.",False,none,The claims do not mention any topoisomerase I inhibitors or related payloads; they are focused on an antibody for polycythemia.,False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"The patent claims are specific to an antibody targeting the transferrin receptor for polycythemia treatment, with no overlap with ROR1, B7-H3, or topoisomerase I inhibitor payloads.",025-534-897-044-861,
False,none,"The claims focus on antibodies targeting FGFR2IIIb, with no mention of ROR1 or related characteristics.",False,none,"There is no mention of B7-H3, CD276, or related characteristics in the claims.",False,none,The claims do not mention any topoisomerase I inhibitors or related payloads.,False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"The patent claims are specific to afucosylated anti-FGFR2IIIb antibodies and do not relate to ROR1, B7-H3, or topoisomerase I inhibitor payloads.",033-835-401-515-367,
False,none,"The claims do not mention ROR1 or any characteristics specifically associated with ROR1 targeting, such as Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting. There is no indication of targeting a 4Ig B7 family member.",False,none,The claims focus on radiolabeled biomolecules and do not mention topoisomerase I inhibitors or related payloads such as camptothecin derivatives.,False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence. The patent focuses on radiolabeled biomolecules, which do not overlap with the ADC program's targets or payloads.",032-930-159-365-75X,
False,none,"The claims do not mention ROR1, orphan receptor tyrosine kinases, or any related signaling pathways. There is no indication of targeting ROR1 in the claimed compounds or processes.",False,none,"The claims do not mention B7-H3, CD276, or any related B7 family member. There is no indication of targeting B7-H3 in the claimed compounds or processes.",False,none,"The claims do not mention topoisomerase I inhibitors or any related compounds such as camptothecin derivatives. The focus is on benzodiazepine derivatives, which are not related to topoisomerase I inhibition.",False,The claims do not describe any bispecific or multispecific antibodies. The focus is on small molecule compounds and their synthesis.,False,"There is no indication of targeting ROR1, B7-H3, or using a topoisomerase I inhibitor payload in the claims. Therefore, the patent does not pose a competitive risk to the ADC program targeting these elements.",034-524-796-027-920,
False,none,"The claims do not mention ROR1, orphan receptor tyrosine kinases, or any related characteristics that would suggest targeting ROR1.",False,none,"The claims do not mention B7-H3, CD276, or any related characteristics that would suggest targeting B7-H3.",False,none,The claims focus on solid forms of a specific chemical compound and do not mention topoisomerase I inhibitors or related payloads.,False,There are no claims describing bispecific or multispecific antibodies targeting ROR1 or B7-H3.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met, and there are no bispecific constructs described. Therefore, this patent does not pose a competitive risk to the ADC program.",040-056-890-911-977,
False,none,The claims focus on PSMA-targeting compounds and do not mention ROR1 or any related characteristics such as Wnt5a signaling or expression in CLL or mantle cell lymphoma.,False,none,"The claims are specific to PSMA-targeting compounds and do not mention B7-H3, CD276, or any related characteristics of the B7 family.",False,none,There is no mention of topoisomerase I inhibitors or related compounds such as camptothecin derivatives in the claims.,False,The claims do not describe any bispecific or multispecific antibodies targeting ROR1 or B7-H3.,False,"The patent claims are specific to PSMA-targeting compounds and do not cover ROR1, B7-H3, or topoisomerase I inhibitor payloads, thus posing no competitive risk to the ADC program targeting these elements.",049-915-351-895-840,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting, such as being a 4Ig B7 family member.",False,none,The claims do not mention any topoisomerase I inhibitors or related payloads such as camptothecin derivatives.,False,There are no claims describing bispecific or multispecific antibodies targeting ROR1 or B7-H3.,False,"None of the claims relate to ROR1, B7-H3, or topoisomerase I inhibitors, so there is no competitive risk to the ADC program targeting these elements.",072-100-207-382-422,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL.",False,none,"There is no mention of B7-H3, CD276, or any related characteristics in the claims.",False,none,The claims do not specify any topoisomerase I inhibitors or related payloads. The focus is on VEGF and DLL4 targeting.,False,"The claims describe bispecific antibodies targeting VEGF and DLL4, but neither arm targets ROR1 or B7-H3.",False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence. The bispecific antibodies described do not involve ROR1 or B7-H3.",071-599-283-366-001,
False,none,"The claims do not mention ROR1 or any characteristics associated with ROR1 targeting, such as Wnt5a signaling or expression in specific cancers.",False,none,"There is no mention of B7-H3, CD276, or any related characteristics in the claims. The focus is on EGFR and TGFβ binding.",False,none,The claims do not mention topoisomerase I inhibitors or any related payloads. The focus is on KRAS inhibitors and fusion proteins targeting EGFR and TGFβ.,False,"The claims describe a fusion protein targeting EGFR and TGFβ, but there is no mention of ROR1 or B7-H3, which are required for the bispecific flag.",False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence. The patent does not pose a competitive risk to the ADC program targeting these specific elements.",075-832-609-876-065,
False,none,"The claims do not mention ROR1 or any characteristics associated with ROR1 targeting, such as orphan receptor tyrosine kinase or Wnt5a signaling involvement.",False,none,"The claims do not mention B7-H3, CD276, or any characteristics specific to B7-H3 targeting. The focus is on fibulin-3, which is unrelated to B7-H3.",False,none,The claims list various cytotoxic agents but do not specifically mention topoisomerase I inhibitors or related compounds like camptothecin derivatives.,False,There are no claims describing bispecific or multispecific antibodies targeting ROR1 or B7-H3.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence. The patent focuses on anti-fibulin-3 antibodies, which do not overlap with the ADC program targets.",050-172-838-981-813,
False,none,"The claims focus on antibodies targeting Siglec-15, with no mention of ROR1 or related characteristics.",False,none,"There is no mention of B7-H3, CD276, or related characteristics in the claims.",False,none,The claims do not mention any topoisomerase I inhibitors or related payloads.,False,The claims do not describe any bispecific or multispecific antibodies.,False,"The patent claims are specific to Siglec-15 targeting antibodies and do not overlap with ROR1, B7-H3, or topoisomerase I inhibitor payloads.",061-402-003-632-471,
False,none,"The claims do not mention ROR1, NTRKR1, or any related receptor tyrosine kinase characteristics. The focus is on peptides and their immunotherapeutic applications, not on specific receptor targeting.",False,none,"There is no mention of B7-H3, CD276, or any related B7 family member characteristics in the claims. The claims are centered on peptide sequences and their use in immunotherapy.",False,none,"The claims do not reference any topoisomerase I inhibitors or related payloads. The invention is focused on peptides and their immunological applications, not on cytotoxic payloads.",False,The claims do not describe any bispecific or multispecific antibody constructs. The focus is on peptide-based compositions.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence. The patent does not pose a competitive risk to the ADC program targeting these elements.",079-889-999-496-73X,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any characteristics specific to B7-H3 targeting, such as being a 4Ig B7 family member.",False,none,The claims do not mention topoisomerase I inhibitors or any specific payloads related to topoisomerase I inhibition.,False,The claims do not describe any bispecific or multispecific antibodies targeting ROR1 or B7-H3.,False,"None of the claims relate to ROR1, B7-H3, or topoisomerase I inhibitors, and there are no bispecific constructs involving these targets. Therefore, this patent does not pose a competitive risk to the ADC program targeting these elements.",064-098-356-588-125,
False,none,"The claims focus on antibodies targeting PMEL17, with no mention of ROR1 or related receptor tyrosine kinases.",False,none,The claims are specific to PMEL17 antibodies and do not mention B7-H3 or related B7 family members.,False,none,"The claims describe cytotoxic agents like auristatins and pyrrolobenzodiazepines, but do not mention topoisomerase I inhibitors or related compounds.",False,There are no claims describing bispecific or multispecific antibodies targeting ROR1 or B7-H3.,False,"The patent claims are specific to PMEL17-targeting antibodies and immunoconjugates, with no overlap in targeting ROR1, B7-H3, or using topoisomerase I inhibitor payloads.",094-613-592-652-936,
False,none,The claims focus on immunogenic compositions related to carcinoembryonic antigen (CEA) and do not mention ROR1 or any related receptor tyrosine kinase characteristics.,False,none,"There is no mention of B7-H3, CD276, or any related B7 family member in the claims. The focus is solely on CEA-related compositions.",False,none,The claims do not mention any topoisomerase I inhibitors or related payloads. They are centered on immunogenic compositions targeting CEA.,False,The claims do not describe any bispecific or multispecific antibodies. They are focused on single-target immunogenic compositions related to CEA.,False,"The patent claims are specific to CEA-related immunogenic compositions and do not involve ROR1, B7-H3, or topoisomerase I inhibitors. Therefore, it poses no competitive risk to the ADC program targeting these elements.",083-315-611-891-584,
False,none,The claims focus exclusively on CD20 binding agents and do not mention ROR1 or any characteristics associated with ROR1 targeting.,False,none,"There is no mention of B7-H3, CD276, or any related characteristics in the claims. The focus is solely on CD20 binding agents.",False,none,The claims do not mention any topoisomerase I inhibitors or related payloads. The focus is on CD20 binding agents and their therapeutic uses.,False,The claims do not describe any bispecific or multispecific antibodies involving ROR1 or B7-H3. The focus is on CD20 binding agents.,False,"The patent claims are specific to CD20 binding agents and do not involve ROR1, B7-H3, or topoisomerase I inhibitors. Therefore, it does not pose a competitive risk to the ADC program targeting these elements.",093-492-454-697-015,
False,none,The claims focus on antibodies binding to PD-L1 and do not mention ROR1 or any related characteristics.,False,none,The claims are specific to PD-L1 binding antibodies and do not mention B7-H3 or any related characteristics.,False,none,There is no mention of topoisomerase I inhibitors or related payloads in the claims.,False,"While the claims mention bispecific antibodies, they do not specify ROR1 or B7-H3 as targets.",False,"The patent claims are specific to PD-L1 binding antibodies and do not cover ROR1, B7-H3, or topoisomerase I inhibitor payloads, thus posing no competitive risk to the ADC program targeting these elements.",089-071-389-446-868,
False,none,"The claims focus exclusively on antibodies targeting DR5, with no mention of ROR1 or related receptor characteristics.",False,none,"There is no mention of B7-H3, CD276, or related characteristics in the claims, which are specific to DR5.",False,low,"While claim 20 mentions CPT-11, a topoisomerase I inhibitor, it is in the context of combination therapy with DR5 antibodies, not as a payload in an ADC.",False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"The patent claims are specific to DR5-targeting antibodies and do not cover ROR1, B7-H3, or topoisomerase I inhibitor payloads in a manner relevant to the ADC program.",106-663-859-695-636,
False,none,"The claims do not mention ROR1 or any characteristics specifically associated with ROR1 targeting, such as Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting, such as being a 4Ig B7 family member.",False,none,The claims focus on genetically engineered microorganisms producing immune modulators and do not mention topoisomerase I inhibitors or related payloads.,False,There are no claims describing bispecific or multispecific antibodies targeting ROR1 or B7-H3.,False,"The patent does not claim any elements related to ROR1, B7-H3, or topoisomerase I inhibitors, thus posing no competitive risk to the ADC program targeting these elements.",094-196-854-243-872,
False,none,"The claims do not mention ROR1 or any characteristics specifically associated with ROR1 targeting, such as Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting, such as being a 4Ig B7 family member.",False,none,"The claims do not mention topoisomerase I inhibitors or any specific payloads like DXd, SN-38, or camptothecin derivatives.",False,There are no claims describing bispecific or multispecific antibodies targeting ROR1 or B7-H3.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence, and there are no bispecific constructs described. Therefore, this patent does not pose a competitive risk to the ADC program.",105-402-252-703-562,
